PdfType: central
Format: lhagrid1
---
5.000000e-06 6.469340e-06 8.370580e-06 1.083050e-05 1.401320e-05 1.813100e-05 2.345850e-05 3.035090e-05 3.926760e-05 5.080240e-05 6.572330e-05 8.502270e-05 1.099830e-04 1.422610e-04 1.839950e-04 2.379440e-04 3.076670e-04 3.977440e-04 5.140700e-04 6.642160e-04 8.578820e-04 1.107470e-03 1.428790e-03 1.847940e-03 2.379570e-03 3.060350e-03 3.929800e-03 5.036510e-03 6.439470e-03 8.208290e-03 1.042490e-02 1.318030e-02 1.657460e-02 2.071300e-02 2.570030e-02 3.166080e-02 3.860010e-02 4.666620e-02 5.587900e-02 6.626100e-02 7.781050e-02 9.050080e-02 1.042750e-01 1.191680e-01 1.349350e-01 1.516740e-01 1.692700e-01 1.876580e-01 2.067780e-01 2.265720e-01 2.469860e-01 2.679650e-01 2.894600e-01 3.112310e-01 3.336210e-01 3.564040e-01 3.795630e-01 4.031000e-01 4.269440e-01 4.510730e-01 4.754690e-01 5.001130e-01 5.249900e-01 5.500860e-01 5.753850e-01 6.009230e-01 6.264810e-01 6.523530e-01 6.783700e-01 7.045280e-01 7.308230e-01 7.572480e-01 7.837670e-01 8.105000e-01 8.372600e-01 8.641380e-01 8.911230e-01 9.182080e-01 9.453860e-01 9.726560e-01 1.000000e+00
1.300000e+00 1.494260e+00 1.736730e+00 2.042900e+00 2.434360e+00 2.941690e+00 3.608810e+00 4.500000e+00 5.866040e+00 7.828770e+00 1.071920e+01 1.509180e+01 2.190300e+01 3.285630e+01 5.109270e+01 8.262520e+01 1.394400e+02 2.465070e+02 4.583780e+02 9.005800e+02 1.878640e+03 4.183110e+03 1.000000e+04
-5 -4 -3 -2 -1 1 2 3 4 5 21 
  0.00000000e+00  0.00000000e+00  7.85245270e-02  2.68995168e-01  2.68993698e-01  2.70213247e-01  2.69876816e-01  7.85245270e-02  0.00000000e+00  0.00000000e+00 -1.92970138e-03
  0.00000000e+00  3.40178244e-02  1.12013837e-01  3.01237171e-01  3.01234167e-01  3.02549140e-01  3.02193659e-01  1.12013837e-01  3.40178244e-02  0.00000000e+00  9.03920705e-01
  0.00000000e+00  8.64372447e-02  1.63932730e-01  3.51964308e-01  3.51959806e-01  3.53372778e-01  3.52998327e-01  1.63932730e-01  8.64372447e-02  0.00000000e+00  2.35292987e+00
  0.00000000e+00  1.60335201e-01  2.37347961e-01  4.24238014e-01  4.24232015e-01  4.25744340e-01  4.25350779e-01  2.37347961e-01  1.60335201e-01  0.00000000e+00  4.48393648e+00
  0.00000000e+00  2.59385046e-01  3.35935607e-01  5.21725202e-01  5.21718491e-01  5.23326950e-01  5.22915221e-01  3.35935607e-01  2.59385046e-01  0.00000000e+00  7.45289823e+00
  0.00000000e+00  3.87753172e-01  4.63848254e-01  6.48578366e-01  6.48568972e-01  6.50273616e-01  6.49841814e-01  4.63848254e-01  3.87753172e-01  0.00000000e+00  1.14301754e+01
  0.00000000e+00  5.50099085e-01  6.25781395e-01  8.09453778e-01  8.09441511e-01  8.11257914e-01  8.10808016e-01  6.25781395e-01  5.50099085e-01  0.00000000e+00  1.65993116e+01
  0.00000000e+00  7.51674212e-01  8.26919699e-01  1.00958062e+00  1.00957011e+00  1.01149725e+00  1.01102287e+00  8.26919699e-01  7.51674212e-01  0.00000000e+00  2.31584145e+01
  2.83548392e-01  1.02760039e+00  1.10237830e+00  1.28393936e+00  1.28392436e+00  1.28598270e+00  1.28548697e+00  1.10237830e+00  1.02760039e+00  2.83548392e-01  3.17399689e+01
  6.31946316e-01  1.36844959e+00  1.44277725e+00  1.62328306e+00  1.62326887e+00  1.62544091e+00  1.62492488e+00  1.44277725e+00  1.36844959e+00  6.31946316e-01  4.25290672e+01
  1.05541775e+00  1.78448368e+00  1.85836682e+00  2.03778618e+00  2.03777264e+00  2.04008894e+00  2.03954834e+00  1.85836682e+00  1.78448368e+00  1.05541775e+00  5.58628495e+01
  1.56561788e+00  2.28731337e+00  2.36073813e+00  2.53911033e+00  2.53909121e+00  2.54155109e+00  2.54098590e+00  2.36073813e+00  2.28731337e+00  1.56561788e+00  7.21041919e+01
  2.17535534e+00  2.88974502e+00  2.96274327e+00  3.14004579e+00  3.14002468e+00  3.14262505e+00  3.14203397e+00  2.96274327e+00  2.88974502e+00  2.17535534e+00  9.16371801e+01
  2.89850298e+00  3.60567200e+00  3.67821815e+00  3.85449404e+00  3.85447651e+00  3.85723142e+00  3.85661368e+00  3.67821815e+00  3.60567200e+00  2.89850298e+00  1.14854596e+02
  3.75013647e+00  4.45013442e+00  4.52215341e+00  4.69751975e+00  4.69747509e+00  4.70047280e+00  4.69980542e+00  4.52215341e+00  4.45013442e+00  3.75013647e+00  1.42167108e+02
  4.74637624e+00  5.43930877e+00  5.51090427e+00  5.68517506e+00  5.68512223e+00  5.68824854e+00  5.68760543e+00  5.51090427e+00  5.43930877e+00  4.74637624e+00  1.73979096e+02
  5.90421966e+00  6.59003956e+00  6.66141671e+00  6.83458026e+00  6.83458815e+00  6.83788428e+00  6.83717003e+00  6.66141671e+00  6.59003956e+00  5.90421966e+00  2.10706679e+02
  7.24230292e+00  7.92101614e+00  7.99199255e+00  8.16408406e+00  8.16405858e+00  8.16760534e+00  8.16688601e+00  7.99199255e+00  7.92101614e+00  7.24230292e+00  2.52750108e+02
  8.77895788e+00  9.45083996e+00  9.52126820e+00  9.69251150e+00  9.69247530e+00  9.69613108e+00  9.69540617e+00  9.52126820e+00  9.45083996e+00  8.77895788e+00  3.00507599e+02
  1.05343947e+01  1.11994402e+01  1.12694871e+01  1.14397110e+01  1.14396647e+01  1.14435761e+01  1.14428124e+01  1.12694871e+01  1.11994402e+01  1.05343947e+01  3.54355472e+02
  1.25290147e+01  1.31871310e+01  1.32569221e+01  1.34260098e+01  1.34259975e+01  1.34301409e+01  1.34292954e+01  1.32569221e+01  1.31871310e+01  1.25290147e+01  4.14647226e+02
  1.47835368e+01  1.54349851e+01  1.55042325e+01  1.56725449e+01  1.56724945e+01  1.56767906e+01  1.56758832e+01  1.55042325e+01  1.54349851e+01  1.47835368e+01  4.81708888e+02
  1.73193740e+01  1.79641211e+01  1.80329484e+01  1.82000941e+01  1.82000373e+01  1.82046408e+01  1.82037175e+01  1.80329484e+01  1.79641211e+01  1.73193740e+01  5.55857463e+02
  0.00000000e+00  0.00000000e+00  7.62808789e-02  2.61485857e-01  2.61483494e-01  2.62889052e-01  2.62505114e-01  7.62808789e-02  0.00000000e+00  0.00000000e+00 -2.25690228e-03
  0.00000000e+00  3.32664030e-02  1.09035748e-01  2.93031747e-01  2.93027770e-01  2.94543885e-01  2.94138715e-01  1.09035748e-01  3.32664030e-02  0.00000000e+00  8.83328323e-01
  0.00000000e+00  8.40336289e-02  1.59317451e-01  3.42158411e-01  3.42153222e-01  3.43780483e-01  3.43354470e-01  1.59317451e-01  8.40336289e-02  0.00000000e+00  2.28751337e+00
  0.00000000e+00  1.55080762e-01  2.29903502e-01  4.11635074e-01  4.11628441e-01  4.13369483e-01  4.12921967e-01  2.29903502e-01  1.55080762e-01  0.00000000e+00  4.33738777e+00
  0.00000000e+00  2.49744965e-01  3.24114202e-01  5.04780352e-01  5.04772322e-01  5.06625644e-01  5.06156488e-01  3.24114202e-01  2.49744965e-01  0.00000000e+00  7.17416007e+00
  0.00000000e+00  3.71770494e-01  4.45707033e-01  6.25334134e-01  6.25322997e-01  6.27297482e-01  6.26806752e-01  4.45707033e-01  3.71770494e-01  0.00000000e+00  1.09512924e+01
  0.00000000e+00  5.25366328e-01  5.98884518e-01  7.77503424e-01  7.77486003e-01  7.79582641e-01  7.79072394e-01  5.98884518e-01  5.25366328e-01  0.00000000e+00  1.58328565e+01
